authors,title
"Isaac Asimov, Robert Silverberg",Nightfall
"Melinda Long, David Shannon",How I Became a Pirate
Edward Abbey,"The Monkey Wrench Gang (Monkey Wrench Gang, #1)"
John Irving,Last Night in Twisted River
Rob Bell,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived"
Rachel Caine,"Bite Club (The Morganville Vampires, #10)"
Jeffrey Archer,A Matter of Honor
Linda Howard,Mr. Perfect
M. Leighton,"Up to Me (The Bad Boys, #2)"
Mira Lyn Kelly,"Waking Up Married (Waking Up, #1)"
Linwood Barclay,No Time for Goodbye (No Time For Goodbye #1)
Katherine Hannigan,"Ida B. . . and Her Plans to Maximize Fun, Avoid Disaster, and (Possibly) Save the World"
Robin Hobb,"The Dragon Keeper (Rain Wild Chronicles, #1)"
Aldo Leopold,A Sand County Almanac and Sketches Here and There
"Eric Knight, Marguerite Kirmse",Lassie Come-Home
"T. Colin Campbell, Thomas M. Campbell II","The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health"
"Julia Donaldson, Axel Scheffler",The Gruffalo
Douglas Adams,"The Salmon of Doubt (Dirk Gently, #3)"
Arthur C. Clarke,The City and the Stars
"Sui Ishida, 石田 スイ","Tokyo Ghoul, tome 1 (Tokyo Ghoul, #1)"
Cressida Cowell,"How to Train Your Dragon (How to Train Your Dragon, #1)"
David Foster Wallace,Brief Interviews with Hideous Men
Mary Higgins Clark,All Around the Town
Lauren Conrad,"L.A. Candy (L.A. Candy, #1)"
Kiera Cass,The Siren
Greg Iles,The Quiet Game
Joseph J. Ellis,American Sphinx: The Character of Thomas Jefferson
"Jo Nesbø, Don Bartlett",Headhunters
Daniel Silva,"The Messenger (Gabriel Allon, #6)"
Paul Bowles,The Sheltering Sky
Patrick Ness,The Rest of Us Just Live Here
Alison Weir,The Lady Elizabeth
Lily Koppel,The Astronaut Wives Club
"G.K. Chesterton, Jonathan Lethem",The Man Who Was Thursday: A Nightmare
"Frank B. Gilbreth Jr., Ernestine Gilbreth Carey",Cheaper by the Dozen
"Douglas Preston, Mario Spezi",The Monster of Florence
Daniel Woodrell,Winter's Bone
Laurell K. Hamilton,"Seduced by Moonlight (Merry Gentry, #3)"
Bernard Cornwell,"Sword Song (The Saxon Stories, #4)"
Jessica Seinfeld,Deceptively Delicious: Simple Secrets to Get Your Kids Eating Good Food
Anita Shreve,The Weight of Water
Katie Ashley,"Music of the Heart (Runaway Train, #1)"
Maeve Binchy,Scarlet Feather
Aleatha Romig,"Truth (Consequences, #2)"
"Terry Pratchett, Paul Kidby","The Last Hero (Discworld, #27; Rincewind #7)"
Isaac Asimov,Fantastic Voyage
Philip Gourevitch,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families
Jonathan Cahn,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future
Daniel Silva,"The English Girl (Gabriel Allon, #13)"
Susan Vreeland,Clara and Mr. Tiffany
Jennifer E. Smith,The Geography of You and Me
L.A. Weatherly,"Angel (Angel, #1)"
Brandon Mull,"Seeds of Rebellion (Beyonders, #2)"
Adeline Yen Mah,Chinese Cinderella: The True Story of an Unwanted Daughter
John Sandford,"Chosen Prey (Lucas Davenport, #12)"
"Bryan J.L. Glass, Tim Seeley, Hugo Petrus, Raymond E. Feist",Raymond E. Feist's Magician Master
Vi Keeland,Bossman
J.R. Ward,The Black Dagger Brotherhood: An Insider's Guide
"Joe Hill, Gabriel Rodríguez","Locke & Key, Vol. 2: Head Games"
"Beverly Cleary, Alan Tiegreen","Ramona and Her Father (Ramona, #4)"
Agatha Christie,The Secret Adversary (Tommy and Tuppence #1)
"Julio Cortázar, Gregory Rabassa",Hopscotch
Karin Slaughter,"Fallen (Will Trent, #5)"
Marissa Meyer,"Stars Above (The Lunar Chronicles, #4.5)"
Eric Clapton,Clapton: The Autobiography
Naomi Klein,No Logo
Harlan Coben,No Second Chance
Hunter S. Thompson,Fear and Loathing on the Campaign Trail '72
P.D. James,Shroud for a Nightingale (Adam Dalgliesh #4)
Sarah Addison Allen,"First Frost (Waverley Family, #2)"
Ted Chiang,Stories of Your Life and Others
Mario Vargas Llosa,Travesuras de la niña mala
Heidi W. Durrow,The Girl Who Fell from the Sky
Bret Easton Ellis,Lunar Park
Lisa Gardner,"Hide (Detective D.D. Warren, #2)"
Habiburrahman El-Shirazy,Ayat-Ayat Cinta
Erin Watt,"Broken Prince (The Royals, #2)"
"Paulo Coelho, Margaret Jull Costa",Manuscript Found in Accra
Lisa Scottoline,Save Me
Clive Barker,Weaveworld
Mary Higgins Clark,"Loves Music, Loves to Dance"
D.J. MacHale,"The Rivers of Zadaa (Pendragon, #6)"
Kristen Ashley,"Sweet Dreams (Colorado Mountain, #2)"
Robert K. Massie,Nicholas and Alexandra
Janet Evanovich,"Wicked Business (Lizzy & Diesel, #2)"
Chris Grabenstein,Escape from Mr. Lemoncello's Library (Mr. Lemoncello's Library #1)
Robert A. Heinlein,Friday
Francine Rivers,"Her Mother's Hope (Marta's Legacy, #1)"
David Wiesner,Tuesday
Tom Clancy,"Red Rabbit (Jack Ryan Universe, #3)"
Mercedes Lackey,"Arrows of the Queen (Heralds of Valdemar, #1)"
Joan Didion,Slouching Towards Bethlehem
Raymond E. Feist,"Rise of a Merchant Prince (The Serpentwar Saga, #2)"
Courtney Allison Moulton,"Angelfire (Angelfire, #1)"
Stephen King,Mile 81
Paul Auster,The Brooklyn Follies
"Holly Black, Tony DiTerlizzi","The Ironwood Tree (The Spiderwick Chronicles, #4)"
Marjorie Kinnan Rawlings,The Yearling
Katie McGarry,"Dare You To (Pushing the Limits, #2)"
"Ozzy Osbourne, Chris Ayres",I Am Ozzy
J. Maarten Troost,The Sex Lives of Cannibals: Adrift in the Equatorial Pacific
Maria V. Snyder,"Touch of Power (Healer, #1)"
Kaye Gibbons,A Virtuous Woman
Nora Roberts,"Tears of the Moon (Gallaghers of Ardmore / Irish Trilogy, #2)"
Darren Shan,"The Vampire Prince (Cirque Du Freak, #6)"
David Eddings,"The Sapphire Rose (The Elenium, #3)"
Bill Clegg,Did You Ever Have a Family
Nelson DeMille,The Gold Coast
Elisabeth Kübler-Ross,On Death and Dying
"James Patterson, Maxine Paetro","14th Deadly Sin (Women’s Murder Club, #14)"
Lisa Kleypas,"It Happened One Autumn (Wallflowers, #2)"
Patricia Cornwell,"Scarpetta (Kay Scarpetta, #16)"
Dennis Lehane,"Darkness, Take My Hand (Kenzie & Gennaro, #2)"
R.A. Salvatore,"Siege of Darkness (Forgotten Realms: Legacy of the Drow, #3; Legend of Drizzt, #9)"
Ellen Hopkins,"Perfect (Impulse, #2)"
Kristen Proby,"Play with Me (With Me in Seattle, #3)"
J.D. Robb,"Portrait in Death (In Death, #16)"
Monica  Murphy,"Second Chance Boyfriend (One Week Girlfriend, #2)"
"Brian K. Vaughan, Pia Guerra, Goran Parlov, José Marzán Jr.","Y: The Last Man, Vol. 4: Safeword (Y: The Last Man, #4)"
Nora Roberts,The Collector
Robin McKinley,Sunshine
Sue Grafton,"D is for Deadbeat (Kinsey Millhone, #4)"
Jesmyn Ward,Salvage the Bones
Kristen Callihan,"The Hook Up (Game On, #1)"
Naomi Novik,"Throne of Jade (Temeraire, #2)"
David McCullough,Mornings on Horseback
"Brian K. Vaughan, Pia Guerra, Goran Sudžuka, José Marzán Jr.","Y: The Last Man, Vol. 7: Paper Dolls (Y: The Last Man, #7)"
Edward Rutherfurd,London
Natasha Preston,"Silence (Silence, #1)"
"Stephanie Perkins, Holly Black, Ally Carter, Matt de la Pena, Gayle Forman, Jenny Han, David Levithan, Kelly Link, Myra McEntire, Rainbow Rowell, Laini Taylor, Kiersten White",My True Love Gave to Me: Twelve Holiday Stories
Hugh Howey,"Sand Omnibus (Sand, #1-5)"
Scott  Meyer,"Off to Be the Wizard (Magic 2.0, #1)"
Richard Russo,Nobody's Fool
"Richard Bachman, Stephen King",Rage
"Émile Zola, Roger Pearson","Germinal (Les Rougon-Macquart, #13)"
Abbi Glines,"Ceaseless (Existence Trilogy, #3)"
Michael Ondaatje,The Cat's Table
Alfred Bester,The Demolished Man
Melissa de la Cruz,"Lost in Time (Blue Bloods, #6)"
Meg Cabot,"Ninth Key (The Mediator, #2)"
Dean Koontz,Twilight Eyes
Lisa Gardner,"Find Her (Detective D.D. Warren, #8)"
"J. Lynn, Jennifer L. Armentrout","Frigid (Frigid, #1)"
"Isabel Allende, Margaret Sayers Peden",Of Love and Shadows
Jacqueline Kelly,"The Evolution of Calpurnia Tate (Calpurnia Tate, #1)"
Katie Alender,"Bad Girls Don't Die (Bad Girls Don't Die, #1)"
Clive Cussler,"Atlantis Found (Dirk Pitt, #15)"
David Mazzucchelli,Asterios Polyp
David Eddings,"Domes of Fire (The Tamuli, #1)"
"Robert Kirkman, Charlie Adlard, Cliff Rathburn","The Walking Dead, Vol. 04: The Heart's Desire"
Kazu Kibuishi,"The Stonekeeper's Curse (Amulet, #2)"
Carl Hiaasen,Sick Puppy
Bill Watterson,The Days Are Just Packed: A Calvin and Hobbes Collection
Danny Gregory,"An Illustrated Life: Drawing Inspiration From The Private Sketchbooks Of Artists, Illustrators And Designers"
Dean Koontz,"Odd Apocalypse (Odd Thomas, #5)"
"Michel Foucault, Alan Sheridan, Thomas Mathiesen, Walter Seitter, Drago Braco Rotar",Discipline and Punish: The Birth of the Prison
Catherine Ryan Hyde,Pay It Forward
Danny Gregory,The Creative License: Giving Yourself Permission to Be The Artist You Truly Are
"Arina Tanemura, Tomo Kimura","Full Moon o Sagashite, Vol. 1"
Bernard Cornwell,"The Archer's Tale (The Grail Quest, #1)"
Anne Lamott,Plan B: Further Thoughts on Faith
Sarah Dunant,In the Company of the Courtesan
Peter V. Brett,"The Skull Throne (Demon Cycle, #4)"
Sherrilyn Kenyon,"Devil May Cry (Dark-Hunter, #11)"
Nicholas Sparks,Two By Two
Anita Shreve,Sea Glass
Shannon Hale,"River Secrets (The Books of Bayern, #3)"
Jeffrey Archer,"Be Careful What You Wish For (The Clifton Chronicles, #4)"
Amy A. Bartol,"Inescapable (The Premonition, #1)"
Aprilynne Pike,"Illusions (Wings, #3)"
Joe McGinniss,Fatal Vision
Sudhir Venkatesh,Gang Leader for a Day: A Rogue Sociologist Takes to the Streets
"Raymond E. Feist, Michael Avon Oeming, Bryan J.L. Glass, Ryan Stegman",Magician: Apprentice  (Raymond E. Feist's Magician: Apprentice #1)
John C. Maxwell,Developing the Leader Within You
C.S. Lewis,"That Hideous Strength (Space Trilogy, #3)"
Laline Paull,The Bees
Sara Gruen,Ape House
"David Eddings, Leigh Eddings",Polgara the Sorceress (Malloreon)
Kevin Kwan,China Rich Girlfriend (Crazy Rich Asians #2)
Elizabeth George,A Woman After God's Own Heart
Brad Thor,"State of the Union (Scot Harvath, #3)"
Ann Leary,The Good House
Rudolfo Anaya,"Bless Me, Ultima"
Bret Easton Ellis,Glamorama
Sue Grafton,"F is for Fugitive (Kinsey Millhone, #6)"
Jo Nesbø,"The Redeemer (Harry Hole, #6)"
Alessandro Baricco,Silk
Tatiana de Rosnay,A Secret Kept
"Tim LaHaye, Jerry B. Jenkins","The Remnant (Left Behind, #10)"
"Italo Calvino, Archibald Colquhoun",The Baron in the Trees
"Stephenie Meyer, Young Kim","Twilight: The Graphic Novel, Vol. 2  (Twilight: The Graphic Novel, #2)"
Belle Aurora,"Raw (RAW Family, #1)"
Roger Zelazny,"The Great Book of Amber (The Chronicles of Amber, #1-10)"
Gena Showalter,The Darkest Lie (Lords of the Underworld #6)
Andrzej Sapkowski,"Czas pogardy (Saga o Wiedźminie, #4)"
Jillian Dodd,"That Boy (That Boy, #1)"
Kate Alcott,The Dressmaker
Judith McNaught,"Paradise (Second Opportunities, #1)"
Chris Van Allsburg,Jumanji
Ken Grimwood,Replay
David Eagleman,Incognito: The Secret Lives of the Brain
Neil deGrasse Tyson,Death by Black Hole - And Other Cosmic Quandaries
Margaret Atwood,The Edible Woman
Richard Dawkins,The Ancestor's Tale: A Pilgrimage to the Dawn of Evolution
Marissa Meyer,Heartless
Paul Zindel,"The Pigman (The Pigman, #1)"
Lincoln Child,"Deep Storm (Jeremy Logan, #1)"
Meg Cabot,"Abandon (Abandon, #1)"
Alexander McCall Smith,"The Full Cupboard of Life (No. 1 Ladies' Detective Agency, #5)"
Kerrelyn Sparks,"How to Marry a Millionaire Vampire (Love at Stake, #1)"
Dr. Seuss,The Foot Book: Dr. Seuss's Wacky Book of Opposites (Bright and Early Board Books)
Christina Lauren,"Beautiful Bitch (Beautiful Bastard, #1.5)"
Robert Muchamore,"The Recruit (Cherub, #1)"
Sarah Simblet,Anatomy for the Artist
Simon Singh,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem
Richard Paul Evans,"The Christmas Box (The Christmas Box, #1)"
Amanda Hocking,"My Blood Approves (My Blood Approves, #1)"
Aurora Rose Reynolds,"Until November (Until, #1)"
Angela Carter,The Bloody Chamber and Other Stories
Anthony Bourdain,A Cook's Tour: Global Adventures in Extreme Cuisines
Simon Schama,The Power of Art
"Michelle Knight, Michelle Burford","Finding Me: A Decade of Darkness, a Life Reclaimed - A Memoir of the Cleveland Kidnappings"
Nora Roberts,"Born in Shame (Born In Trilogy, #3)"
Simone Elkeles,"Return to Paradise (Leaving Paradise, #2)"
Jasmine Warga,My Heart and Other Black Holes
Kim Gordon,Girl in a Band
Heather Brewer,"Ninth Grade Slays (The Chronicles of Vladimir Tod, #2)"
Patricia Cornwell,"Book of the Dead (Kay Scarpetta, #15)"
Joseph Campbell,The Hero With a Thousand Faces
John Sandford,"Bad Blood (Virgil Flowers, #4)"
"D.C. Talk, The Voice of the Martyrs","Jesus Freaks: Stories of Those Who Stood for Jesus, the Ultimate Jesus Freaks (Jesus Freaks, #1)"
Michael Pollan,Cooked: A Natural History of Transformation
Anne Bishop,Daughter of the Blood (The Black Jewels #1)
Orson Scott Card,"The Lost Gate (Mither Mages, #1)"
"Jo Nesbø, Don Bartlett","Police (Harry Hole, #10)"
Anne Rice,"Vittorio, The Vampire (New Tales of the Vampires, #2)"
"Yuu Watase, Yuji Oniki","Fushigi Yûgi: The Mysterious Play, Vol. 1: Priestess"
Brunonia Barry,"The Lace Reader (The Lace Reader, #1)"
"Faye Perozich, Travis Moore, Michael Halbleib, Daerick Gröss, Anne Rice",Anne Rice's The Tale of the Body Thief (A Graphic Novel)
Sherman Alexie,The Lone Ranger and Tonto Fistfight in Heaven
Laurell K. Hamilton,"A Stroke of Midnight (Merry Gentry, #4)"
Stephenie Meyer,The Chemist
Anchee Min,"Empress Orchid (Empress Orchid, #1)"
Eoin Colfer,And Another Thing...
Kathy Reichs,"Monday Mourning (Temperance Brennan, #7)"
H.M. Ward,"Damaged (Damaged, #1)"
"George MacDonald, Arthur Hughes","The Princess and the Goblin  (Princess Irene and Curdie, #1)"
"Camilla Läckberg, Steven T. Murray","The Preacher (Patrik Hedström, #2)"
Dr. Seuss,There's a Wocket in My Pocket!
Dean Koontz,Midnight
Madeleine Wickham,The Gatecrasher
Neal Stephenson,"The Confusion (The Baroque Cycle, #2)"
Terry Pratchett,"Raising Steam (Discworld, #40, Moist von Lipwig #3 )"
Joelle Charbonneau,"Independent Study (The Testing, #2)"
Sue Grafton,"X (Kinsey Millhone, #24)"
"Roger Zelazny, Sönmez Güven",Lord of Light
"Roald Dahl, Quentin Blake",Esio Trot
Mike Mignola,"Hellboy, Vol. 3: The Chained Coffin and Others (Hellboy, #3)"
Scott B. Smith,A Simple Plan
"James Patterson, Michael Ledwidge","Run for Your Life (Michael Bennett, #2)"
"Joan Didion, David Thomson",Play It as It Lays
Kelley Armstrong,"Dime Store Magic (Women of the Otherworld, #3)"
Kim Stanley Robinson,"Blue Mars (Mars Trilogy, #3)"
"Paulo Coelho, Alan R. Clarke",The Valkyries
Louise Penny,"The Long Way Home (Chief Inspector Armand Gamache, #10)"
A.S. King,Please Ignore Vera Dietz
"Joseph Delaney, Patrick  Arrasmith","Curse of the Bane (The Last Apprentice / Wardstone Chronicles, #2)"
L.J. Smith,"The Struggle (The Vampire Diaries, #2)"
Karen Marie Moning,"The Dark Highlander (Highlander, #5)"
Karen Marie Moning,"The Immortal Highlander (Highlander, #6)"
Reza Aslan,"No god but God: The Origins, Evolution and Future of Islam"
Philip K. Dick,"VALIS (VALIS Trilogy, #1)"
"Simone de Beauvoir, H.M. Parshley, Deirdre Bair",The Second Sex
Jennifer A. Nielsen,"The Runaway King (The Ascendance Trilogy, #2)"
"Margaret Weis, Tracy Hickman","Dragon Wing (The Death Gate Cycle, #1)"
Kurt Vonnegut Jr.,Jailbird
"Brian K. Vaughan, Pia Guerra, Goran Sudžuka, José Marzán Jr.","Y: The Last Man, Vol. 9: Motherland (Y: The Last Man, #9)"
Dan Simmons,"Ilium (Ilium, #1)"
"Noelle Stevenson, Grace Ellis, Shannon Waters, Shannon Watters, Brooke A. Allen, Faith Hicks, Kat Leyh, Brooke Allen, Carolyn Nowak, Various, Carey Pietsch","Lumberjanes, Vol. 1: Beware the Kitten Holy"
Elaine N. Aron,The Highly Sensitive Person: How to Thrive When the World Overwhelms You
Chitra Banerjee Divakaruni,The Palace of Illusions
H.W. Brands,The First American: The Life and Times of Benjamin Franklin
"Douglas Preston, Lincoln Child","Dance of Death (Pendergast, #6; Diogenes, #2)"
Susan Beth Pfeffer,"This World We Live In (Last Survivors, #3)"
"Yoshihiro Togashi, 冨樫 義博","Hunter x Hunter, Vol. 01 (Hunter x Hunter, #1)"
J.D. Robb,"Vengeance in Death (In Death, #6)"
Connie Willis,"To Say Nothing of the Dog (Oxford Time Travel, #2)"
"James Patterson, Ned Rust","The Gift (Witch & Wizard, #2)"
Michael Crichton,The Terminal Man
"Daniel Abraham, George R.R. Martin, Tommy Patterson","A Game of Thrones: Comic Book, Issue 1"
Holly Black,"White Cat (Curse Workers, #1)"
Raymond Carver,Where I'm Calling From: New and Selected Stories
Jasper Fforde,"Something Rotten (Thursday Next, #4)"
Jean M. Auel,"The Land of Painted Caves (Earth's Children, #6)"
Lucy Grealy,Autobiography of a Face
Lauren Oliver,Vanishing Girls
Walt Disney Company,Snow White and the Seven Dwarfs (Little Golden Book)
"Angie Sage, Mark Zug","Darke (Septimus Heap, #6)"
Jeff Kinney,The Wimpy Kid Movie Diary (Diary of a Wimpy Kid)
Dashiell Hammett,The Thin Man
Candace Bushnell,Trading Up
David Brin,"The Uplift War (The Uplift Saga, #3)"
Raymond E. Feist,"Rage of a Demon King (The Serpentwar Saga, #3)"
"Kingsley Amis, David Lodge",Lucky Jim
Karin Slaughter,"A Faint Cold Fear (Grant County, #3)"
Marie Lu,"The Rose Society (The Young Elites, #2)"
Kristin Hannah,Angel Falls
Susane Colasanti,Waiting For You
Jeff Hobbs,The Short and Tragic Life of Robert Peace: A Brilliant Young Man Who Left Newark for the Ivy League
Li Cunxin,Mao's Last Dancer
Lisa Gardner,"The Neighbor (Detective D.D. Warren, #3)"
"Brian K. Vaughan, Pia Guerra, José Marzán Jr.","Y: The Last Man, Vol. 10: Whys and Wherefores (Y: The Last Man, #10)"
Greg Bear,"Eon (The Way, #1)"
Helen Simonson,The Summer Before the War
"C.G. Jung, Aniela Jaffé, Richard Winston, Clara Winston","Memories, Dreams, Reflections"
Laurell K. Hamilton,"Bullet (Anita Blake, Vampire Hunter #19)"
Diana Gabaldon,"The Scottish Prisoner (Lord John Grey, #3)"
Meg Cabot,"Reunion (The Mediator, #3)"
ياسر حارب,بيكاسو وستاربكس
"Milan Kundera, Suzanne Rappaport",Laughable Loves
Julia Quinn,"The Secret Diaries of Miss Miranda Cheever (Bevelstoke, #1)"
Founding Fathers,The Constitution of the United States of America
Gilles Néret,Gustav Klimt: 1862-1918
Malcolm Lowry,Under the Volcano
Rachel Abbott,Sleep Tight
"Mary Pope Osborne, Salvatore Murdocca","Dinosaurs Before Dark (Magic Tree House, #1)"
Robert A. Heinlein,Have Space Suit—Will Travel
Jack London,The Sea Wolf
Meg Cabot,"Darkest Hour (The Mediator, #4)"
Kate Beaton,Hark! A Vagrant
Ann Packer,The Dive From Clausen's Pier
"Thomas Mann, Michael Henry Heim, Michael Cunningham",Death in Venice
"Sogyal Rinpoche, Andrew Harvey",The Tibetan Book of Living and Dying
Orson Scott Card,Enchantment
Edgar Allan Poe,The Fall of the House of Usher
D.J. MacHale,"The Soldiers of Halla (Pendragon, #10)"
E. Lockhart,"The Boyfriend List: 15 Guys, 11 Shrink Appointments, 4 Ceramic Frogs and Me, Ruby Oliver (Ruby Oliver, #1)"
Pat Barker,"Regeneration (Regeneration, #1)"
Veronica Roth,"The Initiate (Divergent, #0.2)"
Michael J. Fox,Lucky Man
Margaret Atwood,The Penelopiad
"John Joseph Adams, Robert J. Sawyer, Stephen King, Michael Moorcock, Sharyn McCrumb, Stephen Baxter, Anne Perry, Barbara Hambly, Tanith Lee, Neil Gaiman, Rob Rogers, Naomi Novik, Anthony Burgess, Dominic Green, Laurie R. King, Barbara Roden, Peter Tremayne, Tim Lebbon, Bradley H. Sinor, Edward D. Hoch, Vonda N. McIntyre, Darrell Schweitzer, Mary Robinette Kowal, H.Paul Jeffers, Geoffrey A. Landis, Amy Myers, Tony Pi, Chris Roberson, Mark Valentine",The Improbable Adventures of Sherlock Holmes
Gigi Levangie Grazer,The Starter Wife
"Bill Willingham, Mark Buckingham, Steve Leialoha, James Jean","Fables, Vol. 2: Animal Farm"
